Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
8582093907,"Feb 18, 2023, 1:47:31 PM",Evening Walk,Walk,,6354,3.92,139.0,8,false,,,activities/8582093907.gpx,,,6354.0,2998.0,3928.14990234375,3.352001905441284,1.310256838798523,7.973137855529785,9.073137283325195,5.199999809265137,10.800000190734863,11.990412712097168,-0.029681118205189705,,,,,,102.44988250732422,,,,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.618216872215271,0.0,,,,,,,,,,,,""
8586241540,"Feb 19, 2023, 10:22:10 AM",Afternoon Run,Run,"",3251,7.01,187.0,108,false,,,activities/8586241540.gpx,,,3251.0,3194.0,7015.52978515625,4.233984470367432,2.1964714527130127,0.0,0.20000000298023224,7.099999904632568,8.5,4.149108409881592,-0.002869881223887205,,,,,,160.3433380126953,,,,,,108.0,,,,,,,,,,,0.0,,0.0,,1.0,6970.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.1579606533050537,0.0,,,,,,,,,,,,media/D78AFDC3-EADA-4369-B6A9-9D69D03C2317.jpg
8592464088,"Feb 20, 2023, 1:16:42 PM",Evening Workout,Workout,,987,0,131.0,2,false,,,activities/8592464088.gpx,,,987.0,987.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,103.6717300415039,,,,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8595985430,"Feb 21, 2023, 1:35:20 AM",Morning Weight Training,Weight Training,,1664,0,131.0,4,false,,,activities/8595985430.gpx,,,1664.0,1664.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,99.84976196289062,,,,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8597892920,"Feb 21, 2023, 12:14:38 PM",Evening Run,Run,,1796,5.19,173.0,45,false,,,activities/8597892920.gpx,,,1796.0,1796.0,5191.60009765625,3.8980469703674316,2.890645980834961,0.0,,,,0.0,0.0,,,,,,152.95712280273438,,,,,,45.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.890645980834961,0.0,,,,,,,,,,,,""
8603736030,"Feb 22, 2023, 12:40:09 PM",Evening Run,Run,,1837,5.36,176.0,63,false,,,activities/8603736030.gpx,,,1837.0,1837.0,5365.41015625,3.60400390625,2.920745849609375,0.0,,,,0.0,0.0,,,,,,160.97169494628906,,,,,,63.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.920745849609375,0.0,,,,,,,,,,,,""
8608944559,"Feb 23, 2023, 11:54:49 AM",Evening Run,Run,,2719,6.05,183.0,91,false,,,activities/8608944559.gpx,,,2719.0,2679.0,6056.8798828125,3.8960022926330566,2.260873317718506,0.0,0.0,4.400000095367432,6.099999904632568,4.894764423370361,0.0,,,,,,161.42054748535156,,,,,,91.0,,,,,,,,,,,,,0.0,,1.0,6054.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.2276129722595215,0.0,,,,,,,,,,,,""
8614621027,"Feb 24, 2023, 2:00:36 PM",Night Run,Run,,2085,5.37,176.0,85,false,,,activities/8614621027.gpx,,,2085.0,2085.0,5377.35009765625,3.2559814453125,2.5790648460388184,0.0,,,,0.0,0.0,,,,,,164.92086791992188,,,,,,85.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5790648460388184,0.0,,,,,,,,,,,,""
8636369070,"Feb 28, 2023, 2:29:29 PM",Night Workout,Workout,,1088,0,173.0,12,false,,,activities/8636369070.gpx,,,1088.0,1088.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,136.22702026367188,,,,,,12.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8642022750,"Mar 1, 2023, 2:03:55 PM",Night Run,Run,,2224,5.47,178.0,82,false,,,activities/8642022750.gpx,,,2224.0,2224.0,5478.669921875,3.4019532203674316,2.463430643081665,0.0,,,,0.0,0.0,,,,,,161.3129425048828,,,,,,82.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.463430643081665,0.0,,,,,,,,,,,,""
